,npi,nppes_provider_last_org_name,nppes_provider_first_name,nppes_provider_mi,nppes_provider_state,Full_Name
157617,1174751820,SCHWEITZER,ASHA,R,NE,Asha Schweitzer
157736,1174762405,OLANDER,REBECCA,K,NE,Rebecca Olander
158245,1174801245,SMITH,DANNA,R,NE,Danna Smith
158405,1174827224,IDEUS,TYLER,M,NE,Tyler Ideus
158419,1174829220,SMUTNY,ANGELA,F,NE,Angela Smutny
158464,1174834063,BARKMEIER,TRAVIS,L,NE,Travis Barkmeier
158596,1174853667,SPORKMAN-LINK,ANN,G,NE,Ann Sporkman-Link
158831,1184601064,HOOPER RURAL FIRE DIST 2,,,NE, Hooper Rural Fire Dist 2
158992,1184604118,BLOCK,MARGARET,,NE,Margaret Block
159710,1184618324,ZALMAN,MICHAEL,D,NE,Michael Zalman
160192,1184627036,MARKY,BLANCA,L,NE,Blanca Marky
160581,1184637472,GLOW,ANN,,NE,Ann Glow
160640,1184639130,WALGREEN CO,,,NE, Walgreen Co
160734,1184641193,SADIQ,HASNAIN,J,NE,Hasnain Sadiq
160803,1184643462,WHITWER,CLINT,,NE,Clint Whitwer
160923,1184646127,BOEVER,JOHN,N,NE,John Boever
161082,1184649725,CIMINO,JOHN,J,NE,John Cimino
161126,1184650814,B & R STORES INC,,,NE, B & R Stores Inc
161570,1184660383,CAMPBELL,COREY,J,NE,Corey Campbell
161731,1184663742,GARG,SHAMILA,,NE,Shamila Garg
161999,1184669590,HY VEE INC,,,NE, Hy Vee Inc
162244,1184675191,SCHAFER,DANIEL,F,NE,Daniel Schafer
162302,1184676306,SOMNOS LABORATORIES INC,,,NE, Somnos Laboratories Inc
162515,1184680993,ROUSE,JONATHAN,W,NE,Jonathan Rouse
162568,1184682080,BEAMON,KRISTIN,M,NE,Kristin Beamon
162750,1184685604,HABASH,RAMEZ,J,NE,Ramez Habash
162797,1184686602,CLEARVIEW MOBILE IMAGING LLC,,,NE, Clearview Mobile Imaging Llc
162912,1184688939,VINTON,THOMAS,,NE,Thomas Vinton
162954,1184689754,PRILUCK,IRA,A,NE,Ira Priluck
163062,1184691941,GISH,SHAUNALEE,S,NE,Shaunalee Gish
163121,1184693251,FROST,JOSEPH,P,NE,Joseph Frost
163333,1184697435,JOHNSON,JESSICA,L,NE,Jessica Johnson
163342,1184697559,SANA,SAID,R,NE,Said Sana
163468,1184699878,LOC SURGERY CENTER INC,,,NE, Loc Surgery Center Inc
163534,1184702334,KEYLON,BLENDA,,NE,Blenda Keylon
163537,1184702409,DEAVER,LENNIE,J,NE,Lennie Deaver
163595,1184704967,BUNT,CHRISTOPHER,,NE,Christopher Bunt
163638,1184706434,TRAUDT,BRANDON,M,NE,Brandon Traudt
163770,1184711558,SCHULDT,DANIEL,D,NE,Daniel Schuldt
164397,1184730475,CRAIG,JAMES,M,NE,James Craig
164430,1184731499,"B & R STORES, INC",,,NE," B & R Stores, Inc"
164441,1184731929,LEFLER,HEIDI,A,NE,Heidi Lefler
164463,1184732943,SIME,WESLEY,E,NE,Wesley Sime
164509,1184733966,GALLAGHER,J.,C,NE,J. Gallagher
164531,1184734592,MULLIGAN-WITT,MICHELE,N,NE,Michele Mulligan-Witt
164659,1184738908,BELATTI,ANN,E,NE,Ann Belatti
164697,1184739989,ESTERBROOKS,DENNIS,J,NE,Dennis Esterbrooks
164907,1184759029,LONGWELL,SIDNEY,M,NE,Sidney Longwell
165132,1184773079,WIATER,ZETTA,A,NE,Zetta Wiater
165138,1184773327,BESSE,THOMAS,,NE,Thomas Besse
165171,1184774812,LEE,DAVID,D,NE,David Lee
165241,1184779241,RYAN,SUSAN,,NE,Susan Ryan
165271,1184781304,FEIGIN,JUDITH,A,NE,Judith Feigin
165594,1184797110,HARTZELL,TRISTAN,L,NE,Tristan Hartzell
165971,1184821647,WONG,LINCOLN,M,NE,Lincoln Wong
166170,1184834392,BOERNER,BRIAN,P,NE,Brian Boerner
166198,1184836322,KIPPES,LEAH,R,NE,Leah Kippes
166300,1184845026,GEDDINGS,THOMAS,,NE,Thomas Geddings
166621,1184871972,RECH,BRANDEN,R,NE,Branden Rech
166635,1184873465,HEAVEY,SHERRI,L,NE,Sherri Heavey
166840,1184887671,INGEMANSEN,ANDREW,J,NE,Andrew Ingemansen
166965,1184896789,MIRONOV,ANGEL,,NE,Angel Mironov
167043,1184906422,PATRICK,ANGELA,M,NE,Angela Patrick
167124,1184919615,BERGEN,HEIDI,A,NE,Heidi Bergen
167307,1184945081,WINSIDE RESCUE UNIT,,,NE, Winside Rescue Unit
167378,1184954927,HYTREK,BRETT,J,NE,Brett Hytrek
167418,1184959520,SCHIESSLER,CARA,E,NE,Cara Schiessler
167648,1194021378,GRIFFIN,DANIELLE,K,NE,Danielle Griffin
167749,1194038240,KAUFMAN,ASHLEY,N,NE,Ashley Kaufman
167782,1194042788,WATERLOO FIRE AND RESCUE,,,NE, Waterloo Fire And Rescue
167815,1194047365,SCHUYLER FIRE PROTECTION DISTRICT,,,NE, Schuyler Fire Protection District
167996,1194096123,STEC,NATHAN,D,NE,Nathan Stec
168101,1194701276,BEATY,SUSAN,E,NE,Susan Beaty
168167,1194702597,DIEDRICHSEN,PETER,E,NE,Peter Diedrichsen
168350,1194706077,SALUMBIDES,RAMON,R,NE,Ramon Salumbides
168939,1194717413,CARLSON,RAYMOND,L,NE,Raymond Carlson
169579,1194728915,TENNITY,JOHN,J,NE,John Tennity
169706,1194731232,JACOBSEN,STEVEN,V,NE,Steven Jacobsen
169795,1194733451,WILSON,SCOTT,,NE,Scott Wilson
169802,1194733709,NOECKER,TANJA,L,NE,Tanja Noecker
169932,1194738179,CITY OF CRETE,,,NE, City Of Crete
169991,1194739912,HIRSCHMAN,BRYON,D,NE,Bryon Hirschman
170000,1194740126,SMITH,STEPHEN,B,NE,Stephen Smith
170071,1194741827,HANNAH,JOHN,D,NE,John Hannah
170123,1194743328,SINSHEIMER,JANE,E,NE,Jane Sinsheimer
171298,1194769166,PRIEBE,DAVID,L,NE,David Priebe
171506,1194773689,GALLIGAN,JOHN,D,NE,John Galligan
171571,1194775080,SITORIUS,MICHAEL,A,NE,Michael Sitorius
171574,1194775163,WOLPERT,LAURENCE,A,NE,Laurence Wolpert
171580,1194775270,SCHWAB,RONALD,O,NE,Ronald Schwab
171603,1194775916,PUENTE,JOHN,C,NE,John Puente
171621,1194776336,HELVEY,JASON,T,NE,Jason Helvey
171678,1194777623,SNYDER,JEFFREY,T,NE,Jeffrey Snyder
172621,1194797639,KLUG,RICHARD,,NE,Richard Klug
172659,1194798348,TAPPER,GARY,L,NE,Gary Tapper
172842,1194804112,CHRISTENSEN,MICHAEL,J,NE,Michael Christensen
172948,1194808394,LAKE,DOUGLAS,R,NE,Douglas Lake
173259,1194818831,PRICE,WAYNE,R,NE,Wayne Price
173406,1194823302,IMIG,CARMELLA,N,NE,Carmella Imig
173736,1194833277,MIYAKE,CHRISTINE,,NE,Christine Miyake
173781,1194834465,HOPKINS,JOSHUA,J,NE,Joshua Hopkins
173808,1194835173,SINCEBAUGH,MARY,T,NE,Mary Sincebaugh
173836,1194836049,MORROW,LEE,,NE,Lee Morrow
174382,1194875195,PARKER,GARRET,,NE,Garret Parker
174547,1194883298,OBERLIES,MARK,E,NE,Mark Oberlies
174772,1194894121,SCHILZ,SUREE,M,NE,Suree Schilz
174782,1194894451,VAN ERT,GARY,P,NE,Gary Van Ert
174815,1194895904,ROLLAN,UROULE,A,NE,Uroule Rollan
174871,1194898197,FOUR STAR DRUG OF BETHANY INC,,,NE, Four Star Drug Of Bethany Inc
175071,1194911685,MAYBERRY,LORI,A,NE,Lori Mayberry
175646,1194952564,HOFFMAN,AMY,S,NE,Amy Hoffman
175648,1194952747,RICHMAN,CARMEN,D,NE,Carmen Richman
175662,1194953984,URIDIL,AMY,S,NE,Amy Uridil
175778,1194963918,MED-TRANS CORPORATION,,,NE, Med-Trans Corporation
175956,1194979831,CITY OF NEBRASKA CITY,,,NE, City Of Nebraska City
176144,1194990432,WITT,TATUM,R,NE,Tatum Witt
176388,1205010006,GRENNAN,JILL,J,NE,Jill Grennan
176432,1205013398,EHLERS,DOUGLAS,D,NE,Douglas Ehlers
176541,1205022084,RAJA,WASIM,H,NE,Wasim Raja
176575,1205024742,ANNIN,ARTHUR,S,NE,Arthur Annin
176587,1205025848,WINCHESTER,SUSAN,,NE,Susan Winchester
176756,1205035847,CITY OF CLARKSON,,,NE, City Of Clarkson
176770,1205036571,HOLLAND,DAVID,D,NE,David Holland
177098,1205063484,GOEHRING,JENNY,L,NE,Jenny Goehring
177135,1205065679,MACAULEY,SERENA,E,NE,Serena Macauley
177271,1205078524,BENSON,HEATHER,S,NE,Heather Benson
177566,1205101607,COLE,ABBY,,NE,Abby Cole
177607,1205109048,FALTER,CHRISTOPHER,L,NE,Christopher Falter
177623,1205112349,EILER,ANDREA,M,NE,Andrea Eiler
177799,1205139318,MCDONALD,MONICA,,NE,Monica Mcdonald
178069,1205197878,WILSON,JONATHAN,B,NE,Jonathan Wilson
178187,1205801990,RECKMEYER,MATTHEW,C,NE,Matthew Reckmeyer
178259,1205803236,GLASSMAN,MARY,,NE,Mary Glassman
178300,1205804143,KOHL,KRISTI,S,NE,Kristi Kohl
178304,1205804267,GORDON,GREGORY,I,NE,Gregory Gordon
178930,1205816568,HANSSEN,MARK,L,NE,Mark Hanssen
178933,1205816600,FOOTE,TERENCE,K,NE,Terence Foote
178937,1205816667,TARANTOLO,STEFANO,,NE,Stefano Tarantolo
178960,1205817061,DEWAN,VIJAY,K,NE,Vijay Dewan
179071,1205819158,SMITH,SCOTT,,NE,Scott Smith
179084,1205819455,LAWSON,MICHAEL,,NE,Michael Lawson
179405,1205825981,CITY OF FREMONT,,,NE, City Of Fremont
179459,1205826989,PFLUG,JOHN,W,NE,John Pflug
179747,1205832508,BARTELS,MIKE,D,NE,Mike Bartels
179780,1205833027,POLK,DORISA,L,NE,Dorisa Polk
179991,1205836897,LINDQUIST,SLADE,A,NE,Slade Lindquist
180158,1205839982,HATCLIFF,JAIME,,NE,Jaime Hatcliff
180400,1205845617,SCHMIDT,DONALD,J,NE,Donald Schmidt
180499,1205848314,EINSPAHR,DANIEL,B,NE,Daniel Einspahr
180788,1205855731,YATES,RICHARD,S,NE,Richard Yates
181015,1205860871,PITSCH,RICHARD,M,NE,Richard Pitsch
181037,1205861291,VANDERVORT,ROBERT,S,NE,Robert Vandervort
181221,1205865631,FOSNAUGH,JAMES,A,NE,James Fosnaugh
181547,1205873171,VERZAL,JOSEPH,L,NE,Joseph Verzal
181927,1205881471,MOELLER,CASEY,J,NE,Casey Moeller
182082,1205884806,HOLCOMB,RICHARD,J,NE,Richard Holcomb
182106,1205885266,LANDMARK,JAMES,D,NE,James Landmark
182179,1205886736,GRAVES,LYNDON,,NE,Lyndon Graves
182200,1205887254,TIBBELS,STEPHEN,R,NE,Stephen Tibbels
182211,1205887510,PRICE,CHRISTOPHER,E,NE,Christopher Price
182270,1205888740,KOEHLER,SHELLY,A,NE,Shelly Koehler
182486,1205893567,BRAKKE,TARA,R,NE,Tara Brakke
182535,1205894748,NORTON,KATHLEEN,L,NE,Kathleen Norton
182545,1205894987,JURGENSEN,WILLIAM,W,NE,William Jurgensen
182999,1205910064,HANICH,MICHAEL,J,NE,Michael Hanich
183221,1205918307,ZUKAITIS,JOHN,A,NE,John Zukaitis
183275,1205920311,WIESE,PAULA,J,NE,Paula Wiese
183335,1205922168,ERICKSON,LAUREN,K,NE,Lauren Erickson
183346,1205922465,ECKMANN,RHETT,J,NE,Rhett Eckmann
183350,1205922655,WEBER,IAN,C,NE,Ian Weber
183464,1205926326,PADEN,STEPHEN,,NE,Stephen Paden
183528,1205928181,BAUMERT,RYAN,J,NE,Ryan Baumert
183917,1205940186,BALTERS,MARCUS,W,NE,Marcus Balters
183925,1205940467,COOK,JUDE,,NE,Jude Cook
183943,1205941069,GERNHART,SARAH,,NE,Sarah Gernhart
184070,1205944949,BUDA,DANIELLE,D,NE,Danielle Buda
184194,1205948304,ZINK,DOROTHY,E,NE,Dorothy Zink
184640,1205980893,SIMMONS,GEMA,T,NE,Gema Simmons
184768,1205987443,COLLINS,JAMES,C,NE,James Collins
184903,1205994258,RICHMAN,JONATHAN,S,NE,Jonathan Richman
185235,1215010301,ALLISON,KENT,P,NE,Kent Allison
185257,1215011143,BAUMSTARK,KAREN,E,NE,Karen Baumstark
185391,1215016787,BELLWOOD RURAL FIRE DIST 5,,,NE, Bellwood Rural Fire Dist 5
185447,1215018890,QUINN,JAMES,D,NE,James Quinn
185530,1215021498,OSBORNE,JOHN,A,NE,John Osborne
185670,1215026786,BOWIN,ANDREW,M,NE,Andrew Bowin
186117,1215040126,BISHOP,JULIA,K,NE,Julia Bishop
186169,1215041959,BITTNER,MARVIN,J,NE,Marvin Bittner
186398,1215048657,WEES,STEVEN,J,NE,Steven Wees
186405,1215048830,PAKNIKAR,SUBHASH,,NE,Subhash Paknikar
186662,1215068549,CHILDERS,REBECCA,L,NE,Rebecca Childers
186761,1215075239,GROFF,MELISSA,A,NE,Melissa Groff
186899,1215084199,BUZZELL,JONATHAN,E,NE,Jonathan Buzzell
186955,1215087218,HOEFT,DAVID,J,NE,David Hoeft
187064,1215092838,MACKLEY,WILLIAM,,NE,William Mackley
187065,1215092887,LAWTON-PETERS,SHEILA,R,NE,Sheila Lawton-Peters
187220,1215102629,MORAN,ARNOLDO,A,NE,Arnoldo Moran
187276,1215107818,OWEN,JOEL,K,NE,Joel Owen
187277,1215107826,THOMAS,SHERRI,B,NE,Sherri Thomas
187288,1215108758,SHOPKO STORES OPERATING CO LLC,,,NE, Shopko Stores Operating Co Llc
187769,1215141700,ANIT,LEANDRO,S,NE,Leandro Anit
187825,1215145917,O'NEILL,ROXANNE,,NE,Roxanne O'neill
187900,1215151543,WAKEFIELD,CHARLES,B,NE,Charles Wakefield
187928,1215153465,LIU,YONGGE,,NE,Yongge Liu
187976,1215157136,SATPATHY,RUBY,,NE,Ruby Satpathy
188007,1215160155,PARR,TARA,L,NE,Tara Parr
188013,1215160486,FRONTIER DIAGNOSTIC SLEEP CENTER LLC,,,NE, Frontier Diagnostic Sleep Center Llc
188134,1215172143,JORGENSEN,GREG,A,NE,Greg Jorgensen
188279,1215184726,GANDRA,BABUJI,R,NE,Babuji Gandra
188599,1215214465,SCHOENFELDER,TIFFANY,L,NE,Tiffany Schoenfelder
188695,1215229109,DOERNEMAN,CHAD,D,NE,Chad Doerneman
188933,1215263207,LONG,LUCIE,,NE,Lucie Long
189032,1215294004,ATRI,ASHUTOSH,,NE,Ashutosh Atri
189221,1215903463,SPURGEON,DOUGLAS,S,NE,Douglas Spurgeon
189252,1215904057,DRAPER,KRISTINA,E,NE,Kristina Draper
189260,1215904131,NEBRASKA SURGERY CENTER LLC,,,NE, Nebraska Surgery Center Llc
189412,1215907357,ZARUBA,DALE,A,NE,Dale Zaruba
189557,1215910369,STOLLER,LILLIAN,M,NE,Lillian Stoller
189619,1215911656,RHODES,JACQUELINE,K,NE,Jacqueline Rhodes
189627,1215911813,WATTENHOFER,SCOTT,P,NE,Scott Wattenhofer
190119,1215921325,HAMMOND,CYNTHIA,R,NE,Cynthia Hammond
190139,1215921663,TATAY,RAFAEL,,NE,Rafael Tatay
190237,1215923578,SAQUETON,ANTONIO,B,NE,Antonio Saqueton
190422,1215927181,HENRY,MITCHELL,J,NE,Mitchell Henry
190578,1215930144,COLE,TIMOTHY,B,NE,Timothy Cole
190593,1215930433,SVEEN,JAY,A,NE,Jay Sveen
190769,1215933932,KRIEG,JACOB,J,NE,Jacob Krieg
190784,1215934153,BRANDT,KIMBERLY,D,NE,Kimberly Brandt
191104,1215940358,POTTS,JASON,R,NE,Jason Potts
191262,1215944061,ROCK,EILEEN,D,NE,Eileen Rock
191356,1215946751,TRIBULATO,MARTINA,M,NE,Martina Tribulato
191469,1215949920,MCGUIRE,KATHERINE,R,NE,Katherine Mcguire
191639,1215954656,HOFFERBER,DIAN,J,NE,Dian Hofferber
191665,1215955158,TROTTER,SYLVIA,J,NE,Sylvia Trotter
191868,1215959911,TARGET CORPORATION AND SUBSIDIARIES,,,NE, Target Corporation And Subsidiaries
191957,1215961776,MAURER,ROY,L,NE,Roy Maurer
192048,1215963657,BOTT,KRISTINE,L,NE,Kristine Bott
192057,1215963863,WADMAN,MICHAEL,C,NE,Michael Wadman
192404,1215971122,LAUER,DAVID,W,NE,David Lauer
192448,1215972047,WOODWARD,SUZETTE,A,NE,Suzette Woodward
192556,1215974381,LARSEN,JENNIFER,L,NE,Jennifer Larsen
192643,1215976147,FIEDLER,DOUGLAS,R,NE,Douglas Fiedler
192656,1215976469,LEWIS,MATTHEW,E,NE,Matthew Lewis
192839,1215980297,BOOKS,NORVAL,L,NE,Norval Books
192840,1215980305,BENSON,STEPHEN,V,NE,Stephen Benson
193019,1215984455,PRATT,GEORGE,L,NE,George Pratt
193083,1215985791,JOHANNING,JASON,M,NE,Jason Johanning
193509,1215994389,BAKER,JOHN,J,NE,John Baker
193802,1225001043,SAWTELLE,BRADLEY,G,NE,Bradley Sawtelle
193941,1225003627,RIVETT,AUSTIN,L,NE,Austin Rivett
194380,1225011877,COUNTY OF GOSPER,,,NE, County Of Gosper
194661,1225017403,SINDHAV,JIVANTIKA,,NE,Jivantika Sindhav
194805,1225020258,GROSSE,SARAH,,NE,Sarah Grosse
194899,1225022031,ARNESON,MARK,A,NE,Mark Arneson
194922,1225022478,WADE,RYAN,P,NE,Ryan Wade
195243,1225028582,MCLELLAN,ROBERT,A,NE,Robert Mclellan
195324,1225030422,COUNTY OF CHASE,,,NE, County Of Chase
195386,1225031479,GORDON,PETER,M,NE,Peter Gordon
195403,1225031776,HADENFELDT,JASON,R,NE,Jason Hadenfeldt
195491,1225033566,BINDER,TAMERA,R,NE,Tamera Binder
195871,1225040900,NORFLEET,MITCHELL,S,NE,Mitchell Norfleet
195887,1225041486,CITY OF HEBRON,,,NE, City Of Hebron
196067,1225045263,PARKS,EUGENE,A,NE,Eugene Parks
196278,1225050792,FLETCHER,MICHELLE,P,NE,Michelle Fletcher
196500,1225055999,DVORAK,ALLEN,D,NE,Allen Dvorak
196588,1225057698,WURTH,MARK,G,NE,Mark Wurth
196603,1225058100,COLUMBUS COMMUNITY HOSPITAL INC,,,NE, Columbus Community Hospital Inc
196616,1225058365,SCHEER,VICTOR,D,NE,Victor Scheer
196685,1225060015,HURLBUT,PATRICK,T,NE,Patrick Hurlbut
196802,1225062680,WEILAND,MATTHEW,C,NE,Matthew Weiland
196875,1225064173,FOSS,BARBARA,J,NE,Barbara Foss
196941,1225065535,HOWE,SCOTT,F,NE,Scott Howe
197127,1225069461,ODOO WANI,FREDRICK,O,NE,Fredrick Odoo Wani
197186,1225070568,GALYEN,JAMES,R,NE,James Galyen
197242,1225071681,HUERTER,JAMES,V,NE,James Huerter
197429,1225075591,RICHERT,TAMMY,S,NE,Tammy Richert
197661,1225080419,GLENN,MATTHEW,M,NE,Matthew Glenn
197868,1225085020,SYLLIAASEN,CORY,,NE,Cory Sylliaasen
198055,1225089170,ROCCAFORTE,WILLIAM,H,NE,William Roccaforte
198075,1225089535,CHENEY,RONALD,A,NE,Ronald Cheney
198440,1225096803,COOPER,PATRICIA,B,NE,Patricia Cooper
198468,1225097389,JONES,AMI,S,NE,Ami Jones
198487,1225097710,MOOBERRY,BRANDON,T,NE,Brandon Mooberry
198741,1225106255,MEHTA,VINAY,,NE,Vinay Mehta
198759,1225106974,GRAESSER,DEBRA,K,NE,Debra Graesser
198858,1225111321,LAMBERTY,LELAND,F,NE,Leland Lamberty
198880,1225112014,ERNST,BETH,M,NE,Beth Ernst
198905,1225112881,JOHNSON,LIONEL,D,NE,Lionel Johnson
198941,1225114374,DRUMMOND,DREW,F,NE,Drew Drummond
198982,1225116163,GOBLE,RICHARD,E,NE,Richard Goble
199118,1225121361,BARRATT,MELINDA,S,NE,Melinda Barratt
199209,1225124803,PITTS,NATHAN,A,NE,Nathan Pitts
199293,1225127574,HOLEYFIELD,ROY,W,NE,Roy Holeyfield
199333,1225128754,STERKEL,SHEILA,,NE,Sheila Sterkel
199495,1225133044,STUART,KYLEE,,NE,Kylee Stuart
199734,1225141211,BENES,MICHELLE,L,NE,Michelle Benes
199740,1225141419,STECKELBERG,MICHELE,S,NE,Michele Steckelberg
199752,1225141955,ANDERSON ERICKSEN,NICOLE,L,NE,Nicole Anderson Ericksen
199768,1225142367,ANDERSON,ROBERT,J,NE,Robert Anderson
199769,1225142375,ARORA,MONICA,,NE,Monica Arora
200275,1225172828,CITY OF CEDAR RAPIDS,,,NE, City Of Cedar Rapids
200285,1225173669,LOUIS,ANDRIA,N,NE,Andria Louis
200578,1225190051,COUNTY OF WEBSTER COUNTY CLERK,,,NE, County Of Webster County Clerk
200582,1225190226,BYINGTON,ROBERT,T,NE,Robert Byington
200685,1225195902,WAUSA RURAL FIRE DISTRICT,,,NE, Wausa Rural Fire District
200829,1225206188,MACHADO,GUSTAVO,R,NE,Gustavo Machado
200883,1225212053,FRONTIER COUNTY AMBULANCE SERVICE,,,NE, Frontier County Ambulance Service
201020,1225222110,TARGET CORPORATION AND SUBSIDIARIES,,,NE, Target Corporation And Subsidiaries
201125,1225229917,COUGHLIN,KEVIN,J,NE,Kevin Coughlin
201288,1225241300,GORTEMAKER,JOSHUA,J,NE,Joshua Gortemaker
201301,1225242597,ZEINEDDINE,SAMI,K,NE,Sami Zeineddine
201314,1225243553,CAPONETTI,GABRIEL,C,NE,Gabriel Caponetti
201406,1225249956,VILLAGE OF UTICA NE,,,NE, Village Of Utica Ne
201423,1225250715,GOSWAMI,ARUNDHATI,B,NE,Arundhati Goswami
201439,1225252042,ANDERSON,JOSHUA,R,NE,Joshua Anderson
201456,1225253214,ARNOLD,RYAN,M,NE,Ryan Arnold
201541,1225260912,NIEVEEN,JULIE,A,NE,Julie Nieveen
201837,1225286420,SHELDON,ROSILAND,M,NE,Rosiland Sheldon
201896,1225290596,WOLPERT,JUDY,C,NE,Judy Wolpert
201968,1225294598,SAGRERO,KATIE,M,NE,Katie Sagrero
202109,1225309115,GRETNA VOLUNTEER FIRE AND RESCUE DEPARTMENT,,,NE, Gretna Volunteer Fire And Rescue Department
202221,1225326358,MUES,CHERL,,NE,Cherl Mues
202224,1225326648,HADENFELDT,ERIKA,,NE,Erika Hadenfeldt
202369,1225349632,BRAUER,GINGER,A,NE,Ginger Brauer
202485,1225366628,AWAIS,AHMED,,NE,Ahmed Awais
202620,1235100660,LEWIS,CYNTHIA,M,NE,Cynthia Lewis
203028,1235108457,PETERSON,TARA,L,NE,Tara Peterson
203101,1235109810,ROSENQUIST,DANIEL,J,NE,Daniel Rosenquist
203162,1235111212,EMIG,MARK,D,NE,Mark Emig
203206,1235112103,BEACH,RANDALL,R,NE,Randall Beach
203366,1235115361,MORCOS,ZEYAD,,NE,Zeyad Morcos
203453,1235116963,MCGAHAN,MICHAEL,J,NE,Michael Mcgahan
203646,1235120874,NORTH EAST NEBRASKA PHARMACY INC,,,NE, North East Nebraska Pharmacy Inc
203966,1235126780,JOHNSON,STEPHEN,C,NE,Stephen Johnson
204255,1235132457,ADAMSON,BRENT,E,NE,Brent Adamson
204712,1235142316,STARK,GEROLD,J,NE,Gerold Stark
205029,1235150236,MERZ,JASON,K,NE,Jason Merz
205265,1235155607,EMRY,GORDON,L,NE,Gordon Emry
205344,1235157686,BALLENTINE,JAMES,L,NE,James Ballentine
205830,1235168543,WALKER,RICHARD,A,NE,Richard Walker
206175,1235176413,PETERSEN,BARBARA,A,NE,Barbara Petersen
206488,1235183369,QUIMBY,DAVID,S,NE,David Quimby
206741,1235189374,OLEYNIKOV,DMITRY,,NE,Dmitry Oleynikov
206754,1235189812,THIERFELDER,JEAN,L,NE,Jean Thierfelder
206989,1235195041,ALLISON,JAY,R,NE,Jay Allison
206994,1235195165,CAOS,ANTONIO,,NE,Antonio Caos
207430,1235208638,BURDENY,DEREK,A,NE,Derek Burdeny
207463,1235209941,KAUFMAN,CELESTE,,NE,Celeste Kaufman
207545,1235212424,GOSNELL,WENDY,J,NE,Wendy Gosnell
207551,1235212705,BELL,DONALD,D,NE,Donald Bell
207803,1235222068,HANSEN,VICTORIA,J,NE,Victoria Hansen
207851,1235223645,JAMMAL PHARMS INC,,,NE, Jammal Pharms Inc
207876,1235224510,SPENCER,SUSAN,J,NE,Susan Spencer
207983,1235228081,PRENDES LINTEL,MARIA,D,NE,Maria Prendes Lintel
208129,1235232638,SAW,ANDREW,M,NE,Andrew Saw
208140,1235232893,HOFMAN,CAROL,S,NE,Carol Hofman
208350,1235238189,TALBOT,ANNE,E,NE,Anne Talbot
208462,1235241498,BLAYNEY,MARY,E,NE,Mary Blayney
208620,1235246547,FUSS,TRINITY,J,NE,Trinity Fuss
209060,1235275546,ADAMS,JENNIFER,J,NE,Jennifer Adams
209069,1235275983,HAWLEY,JASON,L,NE,Jason Hawley
209099,1235278193,BARTELS-HISCOCK,JULIE,J,NE,Julie Bartels-Hiscock
209211,1235284456,CLIFTON,WENDY,,NE,Wendy Clifton
209242,1235286543,PETTY,JOSEPH,V,NE,Joseph Petty
209306,1235290263,HINRICHS,KELLY,E,NE,Kelly Hinrichs
209340,1235291832,ALLIANCE RURAL FIRE PROTECTION DISTRICT,,,NE, Alliance Rural Fire Protection District
209710,1235316290,ZABAD,RANA,K,NE,Rana Zabad
209757,1235319997,LAVALEY,JASON,L,NE,Jason Lavaley
209844,1235325614,RAMOS,TAMMY,K,NE,Tammy Ramos
210149,1235345398,PITT,JODEE,A,NE,Jodee Pitt
210259,1235353244,MORAY,ANN,C,NE,Ann Moray
210279,1235354572,WOLF,LESLIE,M,NE,Leslie Wolf
210417,1235365875,MARGHEIM,JOSEPH,T,NE,Joseph Margheim
210609,1235384108,LEONIDA,ALEXANDER,G,NE,Alexander Leonida
210869,1235401639,REGAN,NICHOLE,N,NE,Nichole Regan
211030,1235426602,GRABOWSKI,STEPHANIE,N,NE,Stephanie Grabowski
211270,1235461294,VEST,JOSHUA,M,NE,Joshua Vest
211358,1235484569,BASNETT,CURTIS,,NE,Curtis Basnett
211359,1235484593,BARTH,MATTHEW,D,NE,Matthew Barth
211373,1235487398,TRITZ,ALEXANDRA,,NE,Alexandra Tritz
211404,1235497686,LANGE,RHONDA,D,NE,Rhonda Lange
211439,1245200492,JOHNSEN,JEREMIAH,J,NE,Jeremiah Johnsen
211512,1245201896,DURR,MICHELE,L,NE,Michele Durr
211517,1245202001,SHORT,AMY,C,NE,Amy Short
211728,1245205947,KOCH,DOUGLAS,A,NE,Douglas Koch
211967,1245210772,DORHEIM,TRACY,A,NE,Tracy Dorheim
211971,1245210822,LEWANDOWSKI,JAMES,E,NE,James Lewandowski
212191,1245214956,MONGEON,DARIN,J,NE,Darin Mongeon
212694,1245224336,PETERSEN,PAUL,F,NE,Paul Petersen
212890,1245227974,HUNTER,CHRISTINE,K,NE,Christine Hunter
213130,1245232305,MEYERS,PATRICK,G,NE,Patrick Meyers
213185,1245233154,HUNG,BENJAMIN,J,NE,Benjamin Hung
213450,1245237882,WEEKS,WILLIAM,D,NE,William Weeks
213597,1245240464,REDLAND,ROALENE,J,NE,Roalene Redland
213789,1245246040,SELLON,JANET,K,NE,Janet Sellon
213795,1245246180,LONGORIA,TARA,A,NE,Tara Longoria
213798,1245246263,THOMAS,WILLIAM,J,NE,William Thomas
213819,1245246859,CAMENZIND,RANDY,J,NE,Randy Camenzind
213827,1245247030,BARNHART,SAMANTHA,A,NE,Samantha Barnhart
214128,1245254887,RANSONE,TERESA,R,NE,Teresa Ransone
214863,1245271535,VLACH,STEVEN,E,NE,Steven Vlach
215208,1245279314,CARDENAS,JOSE,A,NE,Jose Cardenas
